Symbol	Description
ASXKOA	Asx Limited
ASXKOE	Asx Limited
ASXKOP	Asx Limited
ASXKOR	Asx Limited
AT1	Atomo Diagnostics Limited
ATA	Atc Alloys Ltd
ATC	Advantage Telecommunications Ltd
ATEC	ATEC
ATH	Atech Holdings Ltd
ATL	Auto Enterprises Ltd
ATM	Aneka Tambang (Persero) Tbk (Indo)
ATP	Atlas Pacific Ltd
ATR	Astron Ltd
ATS	Australis Oil & Gas Limited
ATU	Atrum Coal Nl
ATV	Atlantic Gold NL
ATX	Austminex Ltd
ATXO	ATXO
AU1	Ausnet Financial Services Limited
AUA	Australian Assets Corporation
AUB	Austbrokers Holdings Ltd
AUC	Ausgold Limited
AUE	Aurum Resources Limited
AUH	Australian Healthcare Technology Ltd
AUHO	AUHO
AUI	Australian United Investment Ltd
AUK	Augur Resources Ltd
AUKO	Augur Resources Ltd
AUKOA	Aumake Limited.
AUMF	Ishares Edge Msci Australia Multifactor Etf
AUN	Austar United Communications Ltd
AUQ	Alara Uranium Ltd
AUR	Auris Minerals Limited
AURO	AURO
AUST	Betashares Managed Risk Australian Share Fund (man
AUT	Aurora Oil & Gas Ltd
AUZ	Australian Mines Ltd
AV1	Adveritas Limited
AVA	Aviva Corporation Ltd
AVC	Australian Visual Communications
AVD	Advance Energy Ltd
AVE	Aevum Ltd
AVEO	AVEO
AVG	Australian Vintage Ltd t/over by SWS
AVH	Avita Medical Ltd
AVJ	AV Jennings Homes Ltd
AVL	Anvil Mining Nl
AVLOA	AVLOA
AVM	Anvil Mining Ltd (Canada CUFS)
AVR	Avatar Industries Ltd
AVW	Avira Energy Limited
AVZ	Avonlea Minerals Ltd
AW1	American West Metals Limited
AWC	Alumina Ltd
AWCKOA	Alumina Limited
AWCKOB	Alumina Limited
AWCKOC	Alumina Limited
AWCKOD	Alumina Limited
AWCKOJ	Alumina Limited
AWCKOP	Alumina Limited
AWCKOQ	Alumina Limited
AWCKOR	Alumina Limited
AWCKOT	Alumina Limited
AWCKOU	Alumina Limited
AWCKOX	Alumina Limited
AWJ	Auric Mining Limited
AWJO	AWJO
AWV	Anova Metals Limited
AX1	Accent Group Limited
AX8	Accelerate Resources Limited
AXE	Archer Exploration Ltd
AXI	Axiom Properties Ltd
AXP	Airxpanders Inc
AYA	Attila Resources Limited
AYI	A1 Investments & Resources Ltd
AYM	Altius Mining Limited
AYT	Adelaide Managed Funds Asset Trust
AYUHC	Australian Unity Limited
AYUHD	Australian Unity Limited
AYUPA	AYUPA
AZI	Alta Zinc Limited
AZJ	Aurizon Holdings Limited
AZJKOA	Aurizon Holdings Limited
AZJKOB	Aurizon Holdings Limited
AZJKOC	Aurizon Holdings Limited
AZJKOD	Aurizon Holdings Limited
