,symbols
1559,IBHE
1560,HIBL
1561,ACIO
1562,PYPE
1563,MLPB
1564,AIR
1565,BBVA
1566,TDSB
1567,EWP
1568,BAJAJFINSV.NS
1569,DBEH
1570,DBEU
1571,PSO
1572,INKM
1573,BLES
1574,HYGV
1575,CUK
1576,LEV
1577,XHB
1578,UPW
1579,SOS
1580,MHNC
1581,FMAR
1582,FSBD
1583,ETX
1584,KREF
1585,AAMC
1586,MC
1587,SSTK
1588,VAMO
1589,INCY
1590,PING
1591,WBIG
1592,IVOL
1593,QAI
1594,SIHY
1595,FRDM
1596,DMO
1597,TR
1598,JUNZ
1599,PFRL
1600,MSFT
1601,SREA
1602,BMY
1603,GLV
1604,AILV
1605,AGQ
1606,BBAX
1607,HIO
1608,NIB
1609,VMO
1610,CKX
1611,NHWK
1612,BANC
1613,HEGD
1614,BTN
1615,CBZ
1616,GMED
1617,FLYD
1618,TWTR
1619,IONQ
1620,NJAN
1621,ERUS
1622,MAN
1623,DSM
1624,ERX
1625,EMFM
1626,RLGT
1627,HT
1628,NTZ
1629,MENV
1630,CORS
1631,HIBS
1632,NUGO
1633,PWV
1634,DTC
1635,PSCQ
1636,HTAQ
1637,FGT
1638,DOC
1639,SFBS
1640,AAU
1641,PRA
1642,CHIX
1643,EIM
1644,MHH
1645,MKC
1646,OPA
1647,FUMB
1648,BALL
1649,KIM
1650,NERD
1651,AVSE
1652,ITCB
1653,INST
1654,SHAK
1655,PBUG
1656,SITE
1657,JPIB
1658,NPV
1659,MEME
1660,TT
1661,AGRH
1662,WANT
1663,DCF
1664,YUMY
1665,HUN
1666,QTJA
1667,MARUTI.NS
1668,PFH
1669,FIX
1670,IGT
1671,FDN
1672,NM
1673,PSYK
1674,CHT
1675,IWF
1676,PRTY
1677,TWIO
1678,IJJ
1679,PSFO
1680,EUSA
1681,ARGO
1682,NCR
1683,SVT
1684,PMVC
1685,QLC
1686,SELV
1687,APO
1688,INTU
1689,CTDD
1690,EXK
1691,GHY
1692,OPAD
1693,FVIV
1694,AXTA
1695,EAOR
1696,WBIY
1697,MDY
1698,BAJAJ-AUTO.NS
1699,EES
1700,BLND
1701,ACWV
1702,TLH
1703,SST
1704,BLV
1705,AVSC
1706,ALFA
1707,UNOV
1708,USDP
1709,RAYC
1710,BXMT
1711,RMAX
1712,STOR
1713,VSCO
1714,NULG
1715,HST
1716,GOED
1717,DMAY
1718,INVH
1719,NSPY
1720,SBOW
1721,EMGF
1722,SPBO
1723,WOR
1724,SCU
1725,BURL
1726,YETI
1727,ASZ
1728,JETS
1729,FICO
1730,PNF
1731,PACK
1732,MJXL
1733,SRVR
1734,NABL
1735,SMHI
1736,EXR
1737,JDST
1738,RAMP
1739,DFS
1740,ALK
1741,JILL
1742,BMAR
1743,JMM
1744,PLYM
1745,QLT
1746,BAMR
1747,FND
1748,JNUG
1749,HGLB
1750,ECCW
1751,KULR
1752,BLCO
1753,GABF
1754,FORG
1755,GFI
1756,ERTH
1757,TWN
1758,GCLN
1759,XBJA
1760,XTOC
1761,MUT
1762,HWM
1763,WBD
1764,CQP
1765,NXN
1766,BSAQ
1767,FLKR
1768,TYO
1769,SENT
1770,WBAT
1771,LEU
1772,ALIT
1773,AUD
1774,LNT
1775,TRTN
1776,SKX
1777,SBR
1778,TOST
1779,PRF
1780,VLT
1781,CM
1782,EGO
1783,BUYZ
1784,NEE
1785,INDA
1786,DIVO
1787,VVNT
1788,GBGR
1789,FVAL
1790,TDC
1791,NGL
1792,XEL
1793,DELL
1794,JRS
1795,CNF
1796,TDG
1797,WNS
1798,VRT
1799,PFO
1800,CYD
1801,INTF
1802,JPSE
1803,HTAB
1804,SLX
1805,PTR
1806,EDC
1807,DVA
1808,SQNS
1809,BTI
1810,SCX
1811,SBAC
1812,CRBN
1813,RLJ
1814,SFYX
1815,SAM
1816,COF
1817,SRG
1818,PAPR
1819,PFEB
1820,BAM
1821,LSAT
1822,AVB
1823,RBND
1824,RSXJ
1825,DBND
1826,APRZ
1827,EFG
1828,PFIG
1829,IAU
1830,VCV
1831,WPCB
1832,CNXT
1833,BBCA
1834,JPST
1835,GCOR
1836,VLRS
1837,DJUN
1838,GOAU
1839,RBLX
1840,SVM
1841,ASH
1842,PICK
1843,IUSA
1844,HPF
1845,CLSC
1846,APN
1847,FRC
1848,PFFL
1849,DKL
1850,MBBB
1851,RSX
1852,USNZ
1853,PINK
1854,HOUS
1855,GRMN
1856,BXP
1857,MCK
1858,MDT
1859,JDIV
1860,CO
1861,WST
1862,OOMA
1863,DSI
1864,TLK
1865,VPU
1866,WHD
1867,APAM
1868,FTI
1869,U
1870,BAC
1871,EPRT
1872,HYDB
1873,FBCV
1874,KNG
1875,RAFE
1876,SJNK
1877,EEMS
1878,FYLD
1879,MOS
1880,LGOV
1881,MDYG
1882,TGRW
1883,ALLG
1884,SNMP
1885,JHMS
1886,LGH
1887,TRAQ
1888,ALTG
1889,XB
1890,SPXT
1891,MOH
1892,MMCA
1893,WLTG
1894,HPX
1895,ICICIBANK.NS
1896,BDL
1897,WF
1898,TGH
1899,FXI
1900,SAIL
1901,PSB
1902,IEME
1903,TOKE
1904,DBEF
1905,PFG
1906,ROOF
1907,FNGO
1908,BCV
1909,DFIS
1910,SQSP
1911,ENFN
1912,ENVA
1913,MLI
1914,PST
1915,AWYX
1916,REVS
1917,ADFI
1918,KSET
1919,IBHF
1920,NMT
1921,XPRO
1922,BTT
1923,BKUI
1924,EHAB
1925,NSP
1926,XLK
1927,PBP
1928,DRX
1929,GBUG
1930,REGL
1931,KTF
1932,XSVM
1933,EWZ
1934,EBS
1935,HCA
1936,AGO
1937,CSX
1938,GSV
1939,SUAC
1940,PCAR
1941,ZWS
1942,GSP
1943,DBOC
1944,LQDI
1945,PBI
1946,MTD
1947,VTI
1948,LETB
1949,BOSS
1950,INCH
1951,AZRE
1952,THD
1953,AAP
1954,NWL
1955,RRX
1956,IDT
1957,SMRT
1958,GUNR
1959,NEU
1960,TPGY
1961,AVSU
1962,NAK
1963,EPV
1964,GDXJ
1965,TKAT
1966,NDAQ
1967,BYM
1968,VET
1969,EGGF
1970,PXQ
1971,SPXZ
1972,DAL
1973,PXH
1974,BAL
1975,GSAT
1976,KESG
1977,BUFQ
